name,ko,en,ja,ru,zhcht
Shop.Name.46,일일 <color=#6EC4DD>프리미엄</color> 황금마차 IV,Daily <Color =#6Ec4Dd> Premium </Color> Golden Wagon Iv,毎日<色=＃6Ec4Dd>プレミアム</Color>ゴールデンワゴンiv,Daily <Color =#6Ec4Dd> Premium </Color> Golden Wagon Iv,每日<Color =＃6Ec4Dd> Premium </Color>黃金貨車iv
Shop.Name.47,일일 <color=#6EC4DD>프리미엄</color> 황금마차 V,Daily <Color =#6Ec4Dd> Premium </Color> Golden Wagon V,毎日<色=＃6Ec4Dd>プレミアム</Color>ゴールデンワゴンv,Daily <Color =#6Ec4Dd> Premium </Color> Golden Wagon V,每日<Color =＃6Ec4Dd> Premium </Color>黃金貨車v
Shop.Name.48,주간 <color=#EED878>프리미엄</color> 황금마차 I,Weekly <Color = #Eed878> Premium </Color> Golden Carriage I,毎週<色=＃Eed878>プレミアム</Color>ゴールデンキャリッジi,Weekly <Color = #Eed878> Premium </Color> Golden Carriage I,每週<Color =＃Eed878> Premium </Color>金馬車i
Shop.Name.49,주간 <color=#EED878>프리미엄</color> 황금마차 II,Weekly <Color = #Eed878> Premium </Color> Golden Wagon Ii,Weekly <Color =＃Eed878> Premium </Color>ゴールデンワゴンii,Weekly <Color = #Eed878> Premium </Color> Golden Wagon Ii Ii,每週<Color =＃Eed878> Premium </Color>黃金旅行車ii
Shop.Name.50,주간 <color=#EED878>프리미엄</color> 황금마차 III,Weekly <Color = #Eed878> Premium </Color> Golden Wagon Iii,Weekly <Color =＃Eed878>プレミアム</Color>ゴールデンワゴンiii,Weekly <Color = #Eed878> Premium </Color> Golden Wagon Iii,每週<Color =＃Eed878> Premium </Color>黃金貨車iii
Shop.Name.51,주간 <color=#EED878>프리미엄</color> 황금마차 IV,Weekly <Color = #Eed878> Premium </Color> Golden Wagon Iv,Weekly <Color =＃Eed878>プレミアム</Color>ゴールデンワゴンiv,Weekly <Color = #Eed878> Premium </Color> Golden Wagon Iv,每週<Color =＃Eed878> Premium </Color>黃金貨車iv
Shop.Name.52,주간 <color=#EED878>프리미엄</color> 황금마차 V,Weekly <Color = #Eed878> Premium </Color> Golden Wagon V,毎週<色=＃Eed878>プレミアム</Color>ゴールデンワゴンv,Weekly <Color = #Eed878> Premium </Color> Golden Wagon V,每週<Color =＃Eed878> Premium </Color>黃金貨車v
Shop.Name.53,<color=#FEB533>황금 티켓</color> 프리미엄,<Color =#Feb533> Golden Ticket </Color> Premium,<色=＃Feb533>ゴールデンチケット</Color>プレミアム,<Color =#Feb533> Золотой Билет </Color> Premium,<Color =＃Feb533>金票</Color>高級
Shop.Name.54,레벨 달성 스페셜 I,Level Achievement Special I,レベルアチーブメントスペシャルi,Уровень Достижения Особенный Я,水平成就特別i
Shop.Name.55,레벨 달성 스페셜 II,Level Achievement Special Ii,レベルアチーブメントスペシャルii,Уровень Достижения Special Ii,水平成就特別ii
Shop.Name.56,레벨 달성 스페셜 III,Level Achievement Special Iii,レベルアチーブメントスペシャルiii,Уровень Достижения Специального Iii,水平成就特別iii
Shop.Name.57,레벨 달성 스페셜 IV,Level Achievement Special Iv,レベルアチーブメントスペシャルiv,Уровень Достижения Специального Iv,水平成就特別iv
Shop.Name.58,스테이지 클리어 스페셜 I,Stage Clear Special I,ステージクリアスペシャルi,Стадия Ясного Особого Я,舞台清晰特別i
Shop.Name.59,스테이지 클리어 스페셜 II,Stage Clear Special Ii,ステージクリアスペシャルii,Стадия Ясного Специального Ii,階段清除特別ii
Shop.Name.60,스테이지 클리 스페셜 III,Stage Clich Special Iii,ステージクリックスペシャルiii,Сценический Клиш Special Iii,舞台陳詞濫調特別iii
Shop.Description.08,"루비 45,000개 추가 증정","45,000 Additional Ruby","45,000の追加ルビー",45 000 Дополнительных Рубин,"45,000個紅寶石"
Shop.Description.09,"보석 100,000개 추가 증정","100,000 Additional Gems","100,000の追加の宝石",100 000 Дополнительных Драгоценных Камней,"100,000個額外的寶石"
Shop.Description.10,게임 내 모든 광고보기가 무한 스킵됩니다.,All Advertisements In The Game Will Skip Infinite.,ゲーム内のすべての広告は無限にスキップします。,Все Рекламные Объявления В Игре Будут Пропустить Бесконечные.,遊戲中的所有廣告都會跳過無限。
Shop.Description.11,무한 공격의 축복 활성화 (영구),Activation Of The Blessing Of Infinite Attack (Permanent),無限攻撃の祝福の活性化（永久）,Активация Благословения Бесконечной Атаки (Постоянная),激活無限攻擊的祝福（永久）
Shop.Description.12,무한 생명의 축복 활성화 (영구),Infinite Life Blessing Activation (Permanent),無限の人生の祝福の活性化（永久）,Бесконечная Активация Благословения Жизни (Постоянная),無限的生命祝福激活（永久）
Shop.Description.13,무한 탐욕의 축복 활성화 (영구),Activation Of Blessing Of Infinite Greed (Permanent),無限の貪欲の祝福の活性化（永久）,Активация Благословения Бесконечной Жадности (Постоянная),無限貪婪的祝福激活（永久）
Shop.Description.14,무한 경험의 축복 활성화 (영구),Vitalization Of The Blessing Of Infinite Experience (Permanent),無限の経験の祝福の活性化（永続的）,Витализация Благословения Бесконечного Опыта (Постоянный),無限經驗的祝福（永久）的活力
Shop.Description.15,무한 채굴의 축복 활성화 (영구),Activation Of The Blessing Of Infinite Mining (Permanent),無限の採掘の祝福の活性化（永久）,Активация Благословения Бесконечной Добычи (Постоянная),激活無限採礦的祝福（永久）
Shop.Description.23,"1,3단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1 And 3, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1と3を購入するとき、<Color =＃D3Ce7D> Legent </Color>機器の支払い！,"При Покупке Шагов 1 И 3, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1和3時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.24,"1,3단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1 And 3, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1と3を購入するとき、<Color =＃D3Ce7D> Legent </Color>機器の支払い！,"При Покупке Шагов 1 И 3, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1和3時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.25,"1,3단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1 And 3, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1と3を購入するとき、<Color =＃D3Ce7D> Legent </Color>機器の支払い！,"При Покупке Шагов 1 И 3, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1和3時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.26,매일 딱 한번 살 수 있는 <color=#FF0000>루비</color> 꾸러미,<Color =#Ff0000> Ruby </Color>,<色=＃Ff0000> Ruby​​ </Color>,<Color =#Ff0000> Ruby </Color>,<Color =＃Ff0000>紅寶石</Color>
Shop.Description.27,"2,3단계 상품 구매 시 <color=#FFD515>황금 티켓 추가 지급!</color>",When Purchasing 2 And 3 Products <Color =#Ffd515> Additional Payment Of Golden Tickets! </Color>,2および3の製品を購入するとき<Color =＃Ffd515>ゴールデンチケットの追加支払い！ </Color>,При Покупке 2 И 3 Продуктов <Color =#Ffd515> Дополнительный Платеж Золотых Билетов! </Color>,購買2和3產品時，<Color =＃Ffd515>額外支付金票！ </Color>
Shop.Description.28,"2,3단계 상품 구매 시 <color=#FFD515>황금 티켓 추가 지급!</color>",When Purchasing 2 And 3 Products <Color =#Ffd515> Additional Payment Of Golden Tickets! </Color>,2および3の製品を購入するとき<Color =＃Ffd515>ゴールデンチケットの追加支払い！ </Color>,При Покупке 2 И 3 Продуктов <Color =#Ffd515> Дополнительный Платеж Золотых Билетов! </Color>,購買2和3產品時，<Color =＃Ffd515>額外支付金票！ </Color>
Shop.Description.29,"2,3단계 상품 구매 시 <color=#FFD515>황금 티켓 추가 지급!</color>",When Purchasing 2 And 3 Products <Color =#Ffd515> Additional Payment Of Golden Tickets! </Color>,2および3の製品を購入するとき<Color =＃Ffd515>ゴールデンチケットの追加支払い！ </Color>,При Покупке 2 И 3 Продуктов <Color =#Ffd515> Дополнительный Платеж Золотых Билетов! </Color>,購買2和3產品時，<Color =＃Ffd515>額外支付金票！ </Color>
Shop.Description.30,"1,3,5단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1, 3, 5 Products, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1、3、5製品を購入するとき、<Color =＃D3Ce7D> Legend </Color>機器の支払い！,"При Покупке Этапов 1, 3, 5 Продуктов, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1、3、5產品時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.31,"1,3,5단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1, 3, 5 Products, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1、3、5製品を購入するとき、<Color =＃D3Ce7D> Legend </Color>機器の支払い！,"При Покупке Этапов 1, 3, 5 Продуктов, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1、3、5產品時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.32,"1,3,5단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1, 3, 5 Products, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1、3、5製品を購入するとき、<Color =＃D3Ce7D> Legend </Color>機器の支払い！,"При Покупке Этапов 1, 3, 5 Продуктов, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1、3、5產品時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.33,"1,3,5단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1, 3, 5 Products, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1、3、5製品を購入するとき、<Color =＃D3Ce7D> Legend </Color>機器の支払い！,"При Покупке Этапов 1, 3, 5 Продуктов, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1、3、5產品時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.34,"1,3,5단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1, 3, 5 Products, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1、3、5製品を購入するとき、<Color =＃D3Ce7D> Legend </Color>機器の支払い！,"При Покупке Этапов 1, 3, 5 Продуктов, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1、3、5產品時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.35,"1,3,5단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1, 3, 5 Products, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1、3、5製品を購入するとき、<Color =＃D3Ce7D> Legend </Color>機器の支払い！,"При Покупке Этапов 1, 3, 5 Продуктов, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1、3、5產品時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.36,"1,3,5단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1, 3, 5 Products, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1、3、5製品を購入するとき、<Color =＃D3Ce7D> Legend </Color>機器の支払い！,"При Покупке Этапов 1, 3, 5 Продуктов, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1、3、5產品時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.37,"1,3,5단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1, 3, 5 Products, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1、3、5製品を購入するとき、<Color =＃D3Ce7D> Legend </Color>機器の支払い！,"При Покупке Этапов 1, 3, 5 Продуктов, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1、3、5產品時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.38,"1,3,5단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1, 3, 5 Products, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1、3、5製品を購入するとき、<Color =＃D3Ce7D> Legend </Color>機器の支払い！,"При Покупке Этапов 1, 3, 5 Продуктов, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1、3、5產品時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.39,"1,3,5단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1, 3, 5 Products, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1、3、5製品を購入するとき、<Color =＃D3Ce7D> Legend </Color>機器の支払い！,"При Покупке Этапов 1, 3, 5 Продуктов, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1、3、5產品時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.40,"무한의 탑 <color=""#DB495C"">스페셜</color> 혜택","Infinite Top <Color = ""#Db495C""> Special </Color> Benefits","Infinite Top <Color = ""＃Db495C"">特別</Color>利点","Infinite Top <Color = ""#Db495C""> Специальные </Color> Преимущества",無限頂部<Color =“＃Db495C”>特殊</Color>好處
Shop.Description.41,"무한의 탑 <color=""#9544A6"">프리미엄</color> 혜택","Infinite Tower <Color = ""#9544A6""> Premium </Color> Benefits","Infinite Tower <Color = ""＃9544A6"">プレミアム</Color>利点","Infinite Tower <Color = ""#9544A6""> Premium </Color> Преимущества",無限塔<Color =“＃9544A6”>高級</Color>好處
Shop.Description.42,"재화 던전 <color=""#3CFF00"">프리미엄</color> 혜택","Goods Dungeon <Color = ""#3Cff00""> Premium </Color> Benefits","Goods Dungeon <Color = ""＃3Cff00"">プレミアム</Color>利点","Товары Dungeon <Color = ""#3Cff00""> Premium </Color> Преимущества",商品地牢<Color =“＃3Cff00”>高級</Color>好處
Shop.Description.43,"1,3,5단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1, 3, 5 Products, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1、3、5製品を購入するとき、<Color =＃D3Ce7D> Legend </Color>機器の支払い！,"При Покупке Этапов 1, 3, 5 Продуктов, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1、3、5產品時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.44,"1,3,5단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1, 3, 5 Products, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1、3、5製品を購入するとき、<Color =＃D3Ce7D> Legend </Color>機器の支払い！,"При Покупке Этапов 1, 3, 5 Продуктов, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1、3、5產品時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.45,"1,3,5단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1, 3, 5 Products, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1、3、5製品を購入するとき、<Color =＃D3Ce7D> Legend </Color>機器の支払い！,"При Покупке Этапов 1, 3, 5 Продуктов, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1、3、5產品時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.46,"1,3,5단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1, 3, 5 Products, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1、3、5製品を購入するとき、<Color =＃D3Ce7D> Legend </Color>機器の支払い！,"При Покупке Этапов 1, 3, 5 Продуктов, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1、3、5產品時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.47,"1,3,5단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1, 3, 5 Products, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1、3、5製品を購入するとき、<Color =＃D3Ce7D> Legend </Color>機器の支払い！,"При Покупке Этапов 1, 3, 5 Продуктов, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1、3、5產品時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.48,"1,3,5단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1, 3, 5 Products, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1、3、5製品を購入するとき、<Color =＃D3Ce7D> Legend </Color>機器の支払い！,"При Покупке Этапов 1, 3, 5 Продуктов, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1、3、5產品時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.49,"1,3,5단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1, 3, 5 Products, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1、3、5製品を購入するとき、<Color =＃D3Ce7D> Legend </Color>機器の支払い！,"При Покупке Этапов 1, 3, 5 Продуктов, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1、3、5產品時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.50,"1,3,5단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1, 3, 5 Products, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1、3、5製品を購入するとき、<Color =＃D3Ce7D> Legend </Color>機器の支払い！,"При Покупке Этапов 1, 3, 5 Продуктов, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1、3、5產品時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.51,"1,3,5단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1, 3, 5 Products, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1、3、5製品を購入するとき、<Color =＃D3Ce7D> Legend </Color>機器の支払い！,"При Покупке Этапов 1, 3, 5 Продуктов, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1、3、5產品時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.52,"1,3,5단계 상품 구매 시 <color=#D3CE7D>레전드</color> 장비 지급!","When Purchasing Steps 1, 3, 5 Products, <Color =#D3Ce7D> Legend </Color> Equipment Payment!",手順1、3、5製品を購入するとき、<Color =＃D3Ce7D> Legend </Color>機器の支払い！,"При Покупке Этапов 1, 3, 5 Продуктов, <Color =#D3Ce7D> Legend </Color> Оплата Оборудования!",購買步驟1、3、5產品時，<Color =＃D3Ce7D>傳奇</Color>設備付款！
Shop.Description.53,매일 딱 한번 살 수 있는 <color=#FEB533>황금 티켓</color> 꾸러미,<Color =#Feb533> Golden Ticket </Color>,<色=＃Feb533>ゴールデンチケット</Color>,<Color =#Feb533> Золотой Билет </Color>,<Color =＃Feb533>金票</Color>
Shop.Description.54,3배 효율!!!,3 Times Efficiency !!!,3倍の効率!!!,3 Раза Эффективность !!!,效率3次！！！
Shop.Description.55,3배 효율!!!,3 Times Efficiency !!!,3倍の効率!!!,3 Раза Эффективность !!!,效率3次！！！
Shop.Description.56,3배 효율!!!,3 Times Efficiency !!!,3倍の効率!!!,3 Раза Эффективность !!!,效率3次！！！
Shop.Description.57,3배 효율!!!,3 Times Efficiency !!!,3倍の効率!!!,3 Раза Эффективность !!!,效率3次！！！
Shop.Description.58,5배 효율!!!!!,5X Efficiency !!!!!,5X効率!!!!!,5X Эффективность !!!!!,5X效率！
Shop.Description.59,5배 효율!!!!!,5X Efficiency !!!!!,5X効率!!!!!,5X Эффективность !!!!!,5X效率！
Shop.Description.60,5배 효율!!!!!,5X Efficiency !!!!!,5X効率!!!!!,5X Эффективность !!!!!,5X效率！
Shop.Description2.40,"※ <color=""#EAD985"">열쇠</color> 소모 <color='#00FF75'>50%</color> 영구 감소\n※ 구매 시 <color=""#EAD985"">열쇠</color> 600개 보너스 증정","※ <Color = ""#Ead985""> Key </Color> Consumption </Color = '#00Ff75'> 50%</Color> Permanent Reduction \ N ※ <Color = ""#Ad985""> Key </Color> 600 Dog Bonus Presentation","※<Color = ""＃Ead985""> Key </Color>消費</Color = '＃00Ff75'> 50％</Color>永久削減\ Nボーナスプレゼンテーション","※ <Color = ""#Ead985""> Key </Color> Потребление </Color = '#00Ff75'> 50%</Color> Постоянное Сокращение \ N ※ <Color = ""#Ad985""> Ключ </Color> 600 Собака Бонусная Презентация",※<Color =“＃Ead985”>鍵</Color>消費</Color ='＃00Ff75'> 50％</Color>永久減少\N※<Color =“＃Ad985”> Key </Color </Color </Color> 600狗獎勵演示
Shop.Description2.41,"※ <color=""#77B766"">클로버</color> 보상 <color='#00FF75'>2배</color> 영구 증가\n※ 구매 시 <color=""#EAD985"">열쇠</color> 300개 보너스 증정","※ <Color = ""#77B766""> Clover </Color> Reward <Color = '#00Ff75'> Double </Color> Permanent Increase \ N ※ <Color = ""#Ad985""> Key </Color> 300 Dog Bonus Presentation","※<色= ""＃77B766""> Clover </Color> Reward <Color = '＃00Ff75'> Double </Color>永続的な増加\ N","※ <Color = ""#77B766""> Clover </Color> Reward <Color = '#00Ff75'> Double </Color> Постоянное Увеличение \ N ※ <Color = ""#Ad985""> Ключ </Color> 300 Dog Bonus Presentation",※<Color =“＃77B766”>三葉草</Color>獎勵<Color ='＃00Ff75'> Double </Color>永久增長\ N※<Color =“＃Ad985”> Key </Color </Color </Color </Color> 300狗獎勵呈現
Shop.Description2.42,"※ <color=""#C27E53"">고기</color> 소모 <color='#00FF75'>50%</color> 영구 감소\n※ 구매 시 <color=""#C27E53"">고기</color> 500개 보너스 증정","※ <Color = ""#C27E53""> Meat </Color> Consumption </Color>#00Ff75 '> 50%</Color> Permanent Reduction \ N ※ <Color = ""#C27E53""> Meat </Color> 500 Dog Bonus Presentation","※<Color = ""＃C27E53"">肉</Color>消費</Color>＃00Ff75 '> 50％</Color>永久削減\ Nプレゼンテーション","※ <Color = ""#C27E53""> Мясо </Color> Потребление </Color>#00Ff75 '> 50%</Color> Постоянное Сокращение \ N ※ <Color = ""#C27E53""> Мясо </Color> 500 Бонус Собак. Презентация",※<Color =“＃C27E53”>肉</Color>消費</Color>＃00Ff75'> 50％</Color>永久減少\N※<Color =“＃C27E53”>肉推介會
Shop.EventDescription.08,기간 한정 1+1 이벤트,Duration Limited 1+1 Event,期間限定1+1イベント,Продолжительность Ограниченного 1+1 Событие,持續時間有限1+1事件
Shop.EventDescription.09,기간 한정 1+1 이벤트,Duration Limited 1+1 Event,期間限定1+1イベント,Продолжительность Ограниченного 1+1 Событие,持續時間有限1+1事件
Shop.EventDescription.11,<color=yellow>공축 성장 속도 2배!</color>,<Color = Yellow> 2 Times The Speed Of Growth Growth! </Color>,<色=黄色>成長速度の2倍！ </Color>,<Color = Желтый> В 2 Раза Превышает Скорость Роста! </Color>,<Color =黃色>生長速度的2倍！ </Color>
Shop.EventDescription.12,<color=yellow>생축 성장 속도 2배!</color>,<Color = Yellow> 2 Times The Growth Rate Of Birth Growth! </Color>,<色=黄色>出生成長率の2倍！ </Color>,<Color = Желтый> В 2 Раза Превышает Скорость Роста Роста! </Color>,<Color =黃色>生長增長的2倍！ </Color>
Shop.EventDescription.13,<color=yellow>탐축 성장 속도 2배!</color>,<Color = Yellow> Twice The Growth Rate Of Exploration Growth! </Color>,<色=黄色>探索成長の成長率の2倍！ </Color>,<Color = Желтый> Вдвое Больше Темпов Роста Развития Роста! </Color>,<Color =黃色>勘探生長的增長率的兩倍！ </Color>
Shop.EventDescription.14,<color=yellow>경축 성장 속도 2배!</color>,<Color = Yellow> Celebration Growth Rate Twice! </Color>,<色=黄色>お祝いの成長率は2回！ </Color>,<Color = Желтый> Дважды Рост Праздников! </Color>,<Color =黃色>慶祝增長率兩次！ </Color>
Shop.EventDescription.15,<color=yellow>채축 성장 속도 2배!</color>,<Color = Yellow> Doubling The Growth Rate Of Reconciliation! </Color>,<Color = Yellow>和解の成長率を2倍にします！ </Color>,<Цвет = Желтый> Удвоение Скорости Роста Примирения! </Color>,<Color = Yellow>將和解的增長率加倍！ </Color>
Shop.EventDescription.23,"₩10,000",,,,
Shop.EventDescription.24,"₩50,000",,,,
Shop.EventDescription.25,"₩100,000",,,,
Shop.EventDescription.26,"₩35,000",,,,
Shop.EventDescription.27,"₩10,000",,,,
Shop.EventDescription.28,"₩10,000",,,,
Shop.EventDescription.29,"₩10,000",,,,
Shop.EventDescription.30,"₩10,000",,,,
Shop.EventDescription.31,"₩20,000",,,,
Shop.EventDescription.32,"₩30,000",,,,
Shop.EventDescription.33,"₩40,000",,,,
Shop.EventDescription.34,"₩50,000",,,,
Shop.EventDescription.35,"₩30,000",,,,
Shop.EventDescription.36,"₩50,000",,,,
Shop.EventDescription.37,"₩70,000",,,,
Shop.EventDescription.38,"₩90,000",,,,
Shop.EventDescription.39,"₩110,000",,,,
Shop.EventDescription.40,"₩30,000",,,,
Shop.EventDescription.41,"₩60,000",,,,
Shop.EventDescription.42,"₩30,000",,,,
Shop.EventDescription.43,"₩10,000",,,,
Shop.EventDescription.44,"₩20,000",,,,
Shop.EventDescription.45,"₩30,000",,,,
Shop.EventDescription.46,"₩40,000",,,,
Shop.EventDescription.47,"₩50,000",,,,
Shop.EventDescription.48,"₩30,000",,,,
Shop.EventDescription.49,"₩50,000",,,,
Shop.EventDescription.50,"₩70,000",,,,
Shop.EventDescription.51,"₩90,000",,,,
Shop.EventDescription.52,"₩110,000",,,,
Shop.EventDescription.53,"₩35,000",,,,
Shop.PriceDescription.00,,,,,
Shop.PriceDescription.01,,,,,
Shop.PriceDescription.02,,,,,
Shop.PriceDescription.03,,,,,
Shop.PriceDescription.04,"₩2,200",,,,
Shop.PriceDescription.05,"₩5,500",,,,
Shop.PriceDescription.06,"₩9,900",,,,
Shop.PriceDescription.07,"₩30,000",,,,
Shop.PriceDescription.08,"₩60,000",,,,
Shop.PriceDescription.09,"₩119,000",,,,
Shop.PriceDescription.10,"₩5,900",,,,
Shop.PriceDescription.11,"₩5,900",,,,
Shop.PriceDescription.12,"₩5,900",,,,
Shop.PriceDescription.13,"₩5,900",,,,
Shop.PriceDescription.14,"₩5,900",,,,
Shop.PriceDescription.15,"₩5,900",,,,
Shop.PriceDescription.16,,,,,
Shop.PriceDescription.17,,,,,
Shop.PriceDescription.18,,,,,
Shop.PriceDescription.19,,,,,
Shop.PriceDescription.20,,,,,
Shop.PriceDescription.21,,,,,
Shop.PriceDescription.22,,,,,
Shop.PriceDescription.23,"₩5,500",,,,
Shop.PriceDescription.24,"₩25,000",,,,
Shop.PriceDescription.25,"₩50,000",,,,
Shop.PriceDescription.26,"₩20,000",,,,
Shop.PriceDescription.27,"₩6,600",,,,
Shop.PriceDescription.28,"₩6,600",,,,
Shop.PriceDescription.29,"₩6,600",,,,
Shop.PriceDescription.30,"₩6,600",,,,
Shop.PriceDescription.31,"₩12,000",,,,
Shop.PriceDescription.32,"₩19,000",,,,
Shop.PriceDescription.33,"₩25,000",,,,
Shop.PriceDescription.34,"₩36,000",,,,
Shop.PriceDescription.35,"₩19,000",,,,
Shop.PriceDescription.36,"₩30,000",,,,
Shop.PriceDescription.37,"₩32,000",,,,
Shop.PriceDescription.38,"₩54,000",,,,
Shop.PriceDescription.39,"₩69,000",,,,
Shop.PriceDescription.40,"₩25,000",,,,
Shop.PriceDescription.41,"₩49,000",,,,
Shop.PriceDescription.42,"₩25,000",,,,
